competition_ID,season,name,category,country,start_date,end_date,weapon,gender,timezone,url,unique_ID,missing_results_flag
238,2014,Champ du monde juniors-cadets,Cadet,BULGARIA,2014-04-05,2014-04-06,Foil,Mens,Europe/Sofia,https://fie.org/competitions/2014/238,2014-238,
352,2019,Championnats d’Europe juniors,Junior,ITALY,2019-02-27,2019-02-27,Foil,Mens,Europe/Rome,https://fie.org/competitions/2019/352,2019-352,
772,2014,Championnats asiatiques juniors,Junior,JORDAN,2014-03-14,2014-03-14,Foil,Mens,Asia/Amman,https://fie.org/competitions/2014/772,2014-772,no pools data
993,2009,Championnats Panaméricains Cadets,Cadet,VENEZUELA,2009-05-06,2009-05-06,Foil,Mens,America/Caracas,https://fie.org/competitions/2009/993,2009-993,no pools data
135,2017,Coupe du Monde,Senior,EGYPT,2016-10-21,2016-10-22,Foil,Mens,Africa/Cairo,https://fie.org/competitions/2017/135,2017-135,
741,2009,Championnats d'Europe,Senior,BULGARIA,2009-07-13,2009-07-19,Foil,Mens,Europe/Sofia,https://fie.org/competitions/2009/741,2009-741,no pools data
55,2013,Wappen von Mödling,Junior,AUSTRIA,2013-01-19,2013-01-19,Foil,Mens,Europe/Vienna,https://fie.org/competitions/2013/55,2013-55,no pools data
934,2017,Сhampionnats de la Méditerranée,Cadet,FRANCE,2017-01-27,2017-01-29,Foil,Mens,Europe/Paris,https://fie.org/competitions/2017/934,2017-934,no pools data
292,2003,Championnats d'Europe seniors,Senior,FRANCE,2003-06-27,2003-07-03,Foil,Mens,Europe/Paris,https://fie.org/competitions/2003/292,2003-292,no pools data
463,2008,Epée internationale,Senior,CANADA,2008-05-29,2008-05-30,Foil,Mens,America/Toronto,https://fie.org/competitions/2008/463,2008-463,no pools data
138,2013,SK Trophée Séoul,Senior,KOREA,2013-04-26,2013-04-27,Foil,Mens,Asia/Seoul,https://fie.org/competitions/2013/138,2013-138,no pools data
813,2018,Championnats Panaméricains juniors,Junior,COSTA RICA,2018-03-07,2018-03-07,Foil,Mens,America/Costa_Rica,https://fie.org/competitions/2018/813,2018-813,
244,1977,Championnats du Monde,Senior,ARGENTINA,1977-07-14,1977-07-24,Foil,Mens,America/Argentina/Buenos_Aires,https://fie.org/competitions/1977/244,1977-244,no pools data
798,2010,Championnats Panaméricains,Senior,COSTA RICA,2010-08-03,2010-08-03,Foil,Mens,America/Los_Angeles,https://fie.org/competitions/2010/798,2010-798,no pools data
382,2019,Coupe du Monde,Junior,THAILAND,2018-12-01,2018-12-01,Foil,Mens,Asia/Bangkok,https://fie.org/competitions/2019/382,2019-382,
1280,2020,"Tournoi Satellite, Trekanten International",Senior,DENMARK,2019-10-05,2019-10-05,Foil,Mens,Europe/Copenhagen,https://fie.org/competitions/2020/1280,2020-1280,
1027,2011,26th Summer Universiade,Senior,CHINA,2011-08-15,2011-08-15,Foil,Mens,Asia/Hong_Kong,https://fie.org/competitions/2011/1027,2011-1027,no pools data
