id,weapon,category,season,rank,points
40231,Epee,Senior,2019/2020,388,0.250
40231,Epee,Senior,2019/2020,388,0.250
40231,Epee,Senior,2020/2021,334,1.000
40231,Epee,Senior,2020/2021,334,1.000
40231,Epee,Senior,2021/2022,337,1.000
40231,Epee,Senior,2021/2022,337,1.000
40237,Foil,Junior,2016/2017,65,21.000
40237,Foil,Junior,2017/2018,192,5.000
40237,Foil,Junior,2018/2019,131,10.000
40237,Foil,Senior,2017/2018,412,0.000
40237,Foil,Senior,2018/2019,454,0.000
40237,Foil,Senior,2019/2020,237,1.500
40237,Foil,Senior,2020/2021,235,1.500
40237,Foil,Senior,2021/2022,233,1.500
40259,Foil,Junior,2016/2017,342,0.000
40260,Foil,Junior,2016/2017,337,0.000
40272,Foil,Junior,2016/2017,183,6.000
40272,Foil,Junior,2017/2018,216,3.000
40272,Foil,Junior,2018/2019,188,6.000
40274,Foil,Junior,2018/2019,248,3.000
40274,Foil,Junior,2019/2020,391,0.000
40274,Foil,Junior,2020/2021,328,0.000
40274,Foil,Junior,2021/2022,337,0.000
40284,Foil,Cadet,2016/2017,53,0.000
40284,Foil,Junior,2016/2017,274,2.000
40284,Foil,Junior,2017/2018,144,8.000
40284,Foil,Junior,2018/2019,226,4.000
40284,Foil,Junior,2019/2020,190,6.000
40284,Foil,Junior,2020/2021,296,1.000
40284,Foil,Senior,2017/2018,438,0.000
40284,Foil,Senior,2018/2019,250,2.000
40284,Foil,Senior,2019/2020,295,0.250
40290,Foil,Junior,2016/2017,172,6.000
40293,Foil,Junior,2018/2019,315,0.000
40293,Foil,Junior,2019/2020,131,12.000
40293,Foil,Junior,2020/2021,203,4.000
40293,Foil,Junior,2021/2022,176,4.000
40293,Foil,Senior,2020/2021,490,0.000
40293,Foil,Senior,2021/2022,434,0.000
40294,Foil,Junior,2016/2017,333,0.000
40295,Foil,Junior,2016/2017,331,0.000
40308,Foil,Junior,2016/2017,232,3.000
40308,Foil,Junior,2016/2017,232,3.000
40308,Foil,Junior,2017/2018,317,0.000
40308,Foil,Junior,2017/2018,317,0.000
40308,Foil,Junior,2018/2019,171,6.000
40308,Foil,Junior,2018/2019,171,6.000
40308,Foil,Junior,2019/2020,368,0.000
40308,Foil,Junior,2019/2020,368,0.000
40308,Foil,Junior,2020/2021,335,0.000
40308,Foil,Junior,2020/2021,335,0.000
40308,Foil,Junior,2021/2022,328,0.000
40308,Foil,Junior,2021/2022,328,0.000
40308,Foil,Senior,2018/2019,448,0.000
40308,Foil,Senior,2018/2019,448,0.000
40309,Foil,Junior,2016/2017,234,3.000
40309,Foil,Junior,2017/2018,311,0.000
40309,Foil,Junior,2018/2019,327,0.000
40309,Foil,Junior,2019/2020,370,0.000
40309,Foil,Junior,2020/2021,352,0.000
40309,Foil,Senior,2018/2019,411,0.000
40310,Foil,Cadet,2019/2020,83,0.000
40310,Foil,Junior,2016/2017,236,3.000
40310,Foil,Junior,2017/2018,227,3.000
40310,Foil,Junior,2018/2019,246,3.000
40310,Foil,Junior,2019/2020,226,3.000
40310,Foil,Junior,2020/2021,248,2.000
40310,Foil,Junior,2021/2022,220,2.000
40310,Foil,Senior,2018/2019,427,0.000
40310,Foil,Senior,2019/2020,414,0.000
40310,Foil,Senior,2020/2021,356,0.000
40310,Foil,Senior,2021/2022,398,0.000
40330,Foil,Junior,2016/2017,79,17.000
40330,Foil,Junior,2017/2018,61,28.500
40330,Foil,Senior,2016/2017,128,6.000
40330,Foil,Senior,2018/2019,157,6.000
40356,Foil,Cadet,2016/2017,14,0.000
40356,Foil,Cadet,2017/2018,27,0.000
40356,Foil,Junior,2017/2018,206,4.000
40356,Foil,Junior,2018/2019,12,94.000
40356,Foil,Junior,2019/2020,15,65.000
40356,Foil,Junior,2020/2021,5,116.000
40356,Foil,Senior,2018/2019,262,1.500
40356,Foil,Senior,2019/2020,181,4.500
40356,Foil,Senior,2020/2021,204,3.000
40356,Foil,Senior,2021/2022,168,6.000
40357,Foil,Cadet,2016/2017,17,0.000
40357,Foil,Cadet,2017/2018,18,0.000
40357,Foil,Junior,2017/2018,101,14.000
40357,Foil,Junior,2018/2019,47,31.000
40357,Foil,Junior,2019/2020,3,127.000
40357,Foil,Junior,2020/2021,10,74.000
40358,Foil,Cadet,2016/2017,13,0.000
40358,Foil,Junior,2018/2019,82,17.000
40358,Foil,Junior,2019/2020,98,16.000
40376,Foil,Junior,2016/2017,327,0.000
40376,Foil,Senior,2019/2020,457,0.000
40376,Foil,Senior,2020/2021,416,0.000
40376,Foil,Senior,2021/2022,463,0.000
40381,Foil,Junior,2016/2017,324,0.000
40389,Foil,Cadet,2016/2017,22,0.000
40389,Foil,Cadet,2017/2018,54,0.000
40389,Foil,Junior,2017/2018,237,3.000
40389,Foil,Junior,2018/2019,69,20.000
40389,Foil,Junior,2019/2020,50,29.000
40389,Foil,Junior,2020/2021,76,18.000
40389,Foil,Senior,2018/2019,536,0.000
40389,Foil,Senior,2019/2020,182,4.500
40389,Foil,Senior,2020/2021,179,4.750
40389,Foil,Senior,2021/2022,160,6.250
40401,Foil,Junior,2018/2019,316,0.000
40401,Foil,Junior,2019/2020,179,6.000
40406,Foil,Junior,2016/2017,325,0.000
40406,Foil,Junior,2017/2018,303,0.000
40406,Foil,Senior,2018/2019,382,0.000
40407,Foil,Junior,2016/2017,341,0.000
40407,Foil,Junior,2017/2018,321,0.000
40415,Foil,Junior,2016/2017,314,0.000
40415,Foil,Junior,2017/2018,199,4.000
40415,Foil,Junior,2018/2019,388,0.000
40415,Foil,Junior,2019/2020,176,6.000
40427,Foil,Junior,2018/2019,141,8.500
40427,Foil,Junior,2019/2020,129,12.000
40427,Foil,Junior,2020/2021,42,28.000
40429,Foil,Senior,2016/2017,388,0.000
40433,Foil,Cadet,2016/2017,12,0.000
40433,Foil,Junior,2017/2018,138,8.000
40433,Foil,Junior,2018/2019,167,7.000
40433,Foil,Junior,2019/2020,191,6.000
40433,Foil,Junior,2020/2021,49,26.000
40433,Foil,Senior,2018/2019,542,0.000
40442,Foil,Junior,2016/2017,323,0.000
40442,Foil,Senior,2018/2019,403,0.000
40445,Foil,Junior,2019/2020,378,0.000
40445,Foil,Senior,2018/2019,202,3.000
40453,Foil,Junior,2017/2018,82,20.000
40453,Foil,Senior,2017/2018,230,2.000
40453,Foil,Senior,2018/2019,440,0.000
