fencer_ID,opp_ID,fencer_age,opp_age,fencer_score,opp_score,winner_ID,fencer_curr_pts,opp_curr_pts,tournament_ID,pool_ID,upset,date
37611,33989,21,23,1,5,33989,0.0,21.0,2015-35,3,False,2015-03-07
37611,30262,21,23,2,5,30262,0.0,5.0,2015-35,3,False,2015-03-07
31906,33989,25,23,5,1,31906,0.0,21.0,2015-35,3,True,2015-03-07
31906,30262,25,23,1,5,30262,0.0,5.0,2015-35,3,False,2015-03-07
33989,30262,23,23,4,5,30262,21.0,5.0,2015-35,3,True,2015-03-07
28249,35188,24,24,5,3,28249,0.0,0.0,2015-35,4,False,2015-03-07
28249,35039,24,24,5,0,28249,0.0,0.0,2015-35,4,False,2015-03-07
28249,26839,24,26,5,1,28249,0.0,0.0,2015-35,4,False,2015-03-07
28249,36320,24,23,5,1,28249,0.0,0.0,2015-35,4,False,2015-03-07
28249,29852,24,23,3,1,28249,0.0,6.0,2015-35,4,True,2015-03-07
35188,35039,24,24,5,2,35188,0.0,0.0,2015-35,4,False,2015-03-07
35188,26839,24,26,5,3,35188,0.0,0.0,2015-35,4,False,2015-03-07
35188,36320,24,23,5,1,35188,0.0,0.0,2015-35,4,False,2015-03-07
35188,29852,24,23,5,1,35188,0.0,6.0,2015-35,4,True,2015-03-07
35039,26839,24,26,4,5,26839,0.0,0.0,2015-35,4,False,2015-03-07
35039,36320,24,23,5,1,35039,0.0,0.0,2015-35,4,False,2015-03-07
35039,29852,24,23,5,2,35039,0.0,6.0,2015-35,4,True,2015-03-07
26839,36320,26,23,1,5,36320,0.0,0.0,2015-35,4,False,2015-03-07
26839,29852,26,23,4,5,29852,0.0,6.0,2015-35,4,False,2015-03-07
36320,29852,23,23,0,5,29852,0.0,6.0,2015-35,4,False,2015-03-07
27212,28493,25,25,3,5,28493,21.0,0.0,2015-35,5,True,2015-03-07
27212,33546,25,22,5,3,27212,21.0,0.0,2015-35,5,False,2015-03-07
27212,32393,25,23,5,3,27212,21.0,0.0,2015-35,5,False,2015-03-07
27212,30419,25,24,5,0,27212,21.0,0.0,2015-35,5,False,2015-03-07
27212,28236,25,25,5,2,27212,21.0,0.0,2015-35,5,False,2015-03-07
28493,33546,25,22,5,2,28493,0.0,0.0,2015-35,5,False,2015-03-07
28493,32393,25,23,5,2,28493,0.0,0.0,2015-35,5,False,2015-03-07
28493,30419,25,24,5,2,28493,0.0,0.0,2015-35,5,False,2015-03-07
28493,28236,25,25,5,2,28493,0.0,0.0,2015-35,5,False,2015-03-07
33546,32393,22,23,3,5,32393,0.0,0.0,2015-35,5,False,2015-03-07
33546,30419,22,24,5,2,33546,0.0,0.0,2015-35,5,False,2015-03-07
33546,28236,22,25,5,3,33546,0.0,0.0,2015-35,5,False,2015-03-07
32393,30419,23,24,4,5,30419,0.0,0.0,2015-35,5,False,2015-03-07
32393,28236,23,25,1,5,28236,0.0,0.0,2015-35,5,False,2015-03-07
30419,28236,24,25,4,5,28236,0.0,0.0,2015-35,5,False,2015-03-07
36984,31911,24,25,5,4,36984,0.0,0.0,2015-35,6,False,2015-03-07
36984,34433,24,22,0,5,34433,0.0,30.0,2015-35,6,False,2015-03-07
36984,28864,24,24,2,5,28864,0.0,0.0,2015-35,6,False,2015-03-07
36984,32191,24,24,1,5,32191,0.0,0.0,2015-35,6,False,2015-03-07
36984,28651,24,23,2,5,28651,0.0,0.0,2015-35,6,False,2015-03-07
36984,30415,24,25,1,5,30415,0.0,0.0,2015-35,6,False,2015-03-07
31911,34433,25,22,3,5,34433,0.0,30.0,2015-35,6,False,2015-03-07
31911,28864,25,24,2,5,28864,0.0,0.0,2015-35,6,False,2015-03-07
31911,32191,25,24,5,1,31911,0.0,0.0,2015-35,6,False,2015-03-07
31911,28651,25,23,1,5,28651,0.0,0.0,2015-35,6,False,2015-03-07
31911,30415,25,25,0,5,30415,0.0,0.0,2015-35,6,False,2015-03-07
34433,28864,22,24,1,5,28864,30.0,0.0,2015-35,6,True,2015-03-07
34433,32191,22,24,5,0,34433,30.0,0.0,2015-35,6,False,2015-03-07
34433,28651,22,23,4,5,28651,30.0,0.0,2015-35,6,True,2015-03-07
34433,30415,22,25,1,5,30415,30.0,0.0,2015-35,6,True,2015-03-07
28864,32191,24,24,2,5,32191,0.0,0.0,2015-35,6,False,2015-03-07
28864,28651,24,23,5,2,28864,0.0,0.0,2015-35,6,False,2015-03-07
28864,30415,24,25,5,2,28864,0.0,0.0,2015-35,6,False,2015-03-07
32191,28651,24,23,5,3,32191,0.0,0.0,2015-35,6,False,2015-03-07
32191,30415,24,25,4,5,30415,0.0,0.0,2015-35,6,False,2015-03-07
28651,30415,23,25,5,0,28651,0.0,0.0,2015-35,6,False,2015-03-07
32078,20461,24,25,5,1,32078,0.0,10.0,2015-35,7,True,2015-03-07
32078,31630,24,23,5,1,32078,0.0,0.0,2015-35,7,False,2015-03-07
32078,34259,24,23,5,3,32078,0.0,0.0,2015-35,7,False,2015-03-07
32078,31868,24,25,5,4,32078,0.0,0.0,2015-35,7,False,2015-03-07
32078,32730,24,23,5,3,32078,0.0,39.0,2015-35,7,True,2015-03-07
32078,37600,24,22,2,5,37600,0.0,0.0,2015-35,7,False,2015-03-07
20461,31630,25,23,5,1,20461,10.0,0.0,2015-35,7,False,2015-03-07
20461,34259,25,23,5,2,20461,10.0,0.0,2015-35,7,False,2015-03-07
20461,31868,25,25,3,5,31868,10.0,0.0,2015-35,7,True,2015-03-07
20461,32730,25,23,5,2,20461,10.0,39.0,2015-35,7,True,2015-03-07
20461,37600,25,22,5,1,20461,10.0,0.0,2015-35,7,False,2015-03-07
31630,34259,23,23,5,4,31630,0.0,0.0,2015-35,7,False,2015-03-07
31630,31868,23,25,4,5,31868,0.0,0.0,2015-35,7,False,2015-03-07
31630,32730,23,23,1,5,32730,0.0,39.0,2015-35,7,False,2015-03-07
31630,37600,23,22,3,5,37600,0.0,0.0,2015-35,7,False,2015-03-07
34259,31868,23,25,5,3,34259,0.0,0.0,2015-35,7,False,2015-03-07
34259,32730,23,23,3,5,32730,0.0,39.0,2015-35,7,False,2015-03-07
34259,37600,23,22,0,5,37600,0.0,0.0,2015-35,7,False,2015-03-07
31868,32730,25,23,5,3,31868,0.0,39.0,2015-35,7,True,2015-03-07
31868,37600,25,22,5,4,31868,0.0,0.0,2015-35,7,False,2015-03-07
32730,37600,23,22,5,0,32730,39.0,0.0,2015-35,7,False,2015-03-07
33609,37314,22,23,4,5,37314,0.0,0.0,2015-771,1,False,2015-03-05
33609,35017,22,24,2,5,35017,0.0,0.0,2015-771,1,False,2015-03-05
33609,34846,22,21,5,1,33609,0.0,0.0,2015-771,1,False,2015-03-05
33609,20482,22,26,3,5,20482,0.0,21.0,2015-771,1,False,2015-03-05
33609,37406,22,23,4,3,33609,0.0,0.0,2015-771,1,False,2015-03-05
33609,34271,22,24,5,2,33609,0.0,0.0,2015-771,1,False,2015-03-05
37314,35017,23,24,5,2,37314,0.0,0.0,2015-771,1,False,2015-03-05
37314,34846,23,21,5,2,37314,0.0,0.0,2015-771,1,False,2015-03-05
37314,20482,23,26,1,5,20482,0.0,21.0,2015-771,1,False,2015-03-05
37314,37406,23,23,5,2,37314,0.0,0.0,2015-771,1,False,2015-03-05
37314,34271,23,24,2,5,34271,0.0,0.0,2015-771,1,False,2015-03-05
35017,34846,24,21,5,1,35017,0.0,0.0,2015-771,1,False,2015-03-05
35017,20482,24,26,0,5,20482,0.0,21.0,2015-771,1,False,2015-03-05
35017,37406,24,23,5,1,35017,0.0,0.0,2015-771,1,False,2015-03-05
35017,34271,24,24,5,4,35017,0.0,0.0,2015-771,1,False,2015-03-05
34846,20482,21,26,3,5,20482,0.0,21.0,2015-771,1,False,2015-03-05
34846,37406,21,23,2,5,37406,0.0,0.0,2015-771,1,False,2015-03-05
34846,34271,21,24,2,5,34271,0.0,0.0,2015-771,1,False,2015-03-05
20482,37406,26,23,5,1,20482,21.0,0.0,2015-771,1,False,2015-03-05
20482,34271,26,24,5,4,20482,21.0,0.0,2015-771,1,False,2015-03-05
37406,34271,23,24,2,5,34271,0.0,0.0,2015-771,1,False,2015-03-05
37427,29041,24,25,2,5,29041,0.0,3.0,2015-771,2,False,2015-03-05
37427,28946,24,24,0,5,28946,0.0,5.0,2015-771,2,False,2015-03-05
37427,37620,24,24,4,5,37620,0.0,0.0,2015-771,2,False,2015-03-05
37427,28787,24,25,1,5,28787,0.0,0.0,2015-771,2,False,2015-03-05
37427,30642,24,25,0,5,30642,0.0,6.0,2015-771,2,False,2015-03-05
37427,37387,24,24,1,5,37387,0.0,0.0,2015-771,2,False,2015-03-05
29041,28946,25,24,2,5,28946,3.0,5.0,2015-771,2,False,2015-03-05
29041,37620,25,24,5,2,29041,3.0,0.0,2015-771,2,False,2015-03-05
29041,28787,25,25,4,5,28787,3.0,0.0,2015-771,2,True,2015-03-05
29041,30642,25,25,3,5,30642,3.0,6.0,2015-771,2,False,2015-03-05
29041,37387,25,24,1,5,37387,3.0,0.0,2015-771,2,True,2015-03-05
28946,37620,24,24,5,0,28946,5.0,0.0,2015-771,2,False,2015-03-05
28946,28787,24,25,5,3,28946,5.0,0.0,2015-771,2,False,2015-03-05
28946,30642,24,25,5,2,28946,5.0,6.0,2015-771,2,True,2015-03-05
28946,37387,24,24,1,5,37387,5.0,0.0,2015-771,2,True,2015-03-05
37620,28787,24,25,0,5,28787,0.0,0.0,2015-771,2,False,2015-03-05
37620,30642,24,25,0,5,30642,0.0,6.0,2015-771,2,False,2015-03-05
37620,37387,24,24,0,5,37387,0.0,0.0,2015-771,2,False,2015-03-05
28787,30642,25,25,2,5,30642,0.0,6.0,2015-771,2,False,2015-03-05
28787,37387,25,24,5,2,28787,0.0,0.0,2015-771,2,False,2015-03-05
30642,37387,25,24,2,5,37387,6.0,0.0,2015-771,2,True,2015-03-05
24885,30706,25,23,3,5,30706,6.0,0.0,2015-771,3,True,2015-03-05
24885,29042,25,25,5,3,24885,6.0,0.0,2015-771,3,False,2015-03-05
24885,31207,25,25,5,4,24885,6.0,0.0,2015-771,3,False,2015-03-05
24885,37434,25,21,4,5,37434,6.0,0.0,2015-771,3,True,2015-03-05
24885,37417,25,22,5,0,24885,6.0,0.0,2015-771,3,False,2015-03-05
24885,37386,25,23,5,1,24885,6.0,0.0,2015-771,3,False,2015-03-05
30706,29042,23,25,5,1,30706,0.0,0.0,2015-771,3,False,2015-03-05
30706,31207,23,25,5,1,30706,0.0,0.0,2015-771,3,False,2015-03-05
30706,37434,23,21,5,1,30706,0.0,0.0,2015-771,3,False,2015-03-05
30706,37417,23,22,5,1,30706,0.0,0.0,2015-771,3,False,2015-03-05
30706,37386,23,23,5,4,30706,0.0,0.0,2015-771,3,False,2015-03-05
29042,31207,25,25,4,5,31207,0.0,0.0,2015-771,3,False,2015-03-05
29042,37434,25,21,5,1,29042,0.0,0.0,2015-771,3,False,2015-03-05
29042,37417,25,22,5,0,29042,0.0,0.0,2015-771,3,False,2015-03-05
